ruta_imagen,imagen_id,folder_real,descripcion_vision_llm
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/manganese/mn_14.jpg,mn_14.jpg,manganese,"The leaf displays a gradient of bright green to yellow, with smooth textures and faint parallel lines running along its length."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/manganese/mn_12.jpg,mn_12.jpg,manganese,"The leaf is bright green with smooth texture, featuring prominent veins and a slight curve at the tip. No spots or discoloration are visible."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/manganese/mn_9.jpg,mn_9.jpg,manganese,"The leaf is bright green with smooth texture, featuring brown dry edges and irregular dark spots scattered across its surface."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/manganese/mn_3.jpg,mn_3.jpg,manganese,"The leaf is bright green with smooth, elongated shapes, featuring prominent veins and subtle variations in color intensity."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/manganese/mn_23.jpg,mn_23.jpg,manganese,"Bright green leaf with smooth texture, prominent veins, and slight curvature. Edges are slightly wavy, with a few small brown spots near the tip."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/manganese/mn_20.jpg,mn_20.jpg,manganese,"The leaf displays a vibrant green color with smooth, glossy texture; it has a slight curve and subtle light reflections."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/manganese/mn_21.jpg,mn_21.jpg,manganese,"The leaf is primarily green with smooth, glossy surfaces, featuring light and dark green variations, and subtle, irregular folds."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/manganese/mn_18.jpg,mn_18.jpg,manganese,"The leaf is bright yellow with smooth, slightly curved surfaces and a prominent central vein, displaying a glossy texture."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/manganese/mn_1.jpg,mn_1.jpg,manganese,"The leaf displays a gradient of bright yellow to deep green, with smooth textures and parallel lines running along its length."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/manganese/mn_2.jpg,mn_2.jpg,manganese,"The leaf is bright green with prominent vertical ridges, smooth texture, and a few dark brown spots near the base."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/potassium/k_105.jpg,k_105.jpg,potassium,"The leaf is predominantly green with a smooth texture, featuring a central vein and brown edges along the top."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/potassium/k_292.jpg,k_292.jpg,potassium,"The leaf is primarily bright green with a smooth texture, featuring a brown, dry edge and a slight curl at the tip."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/potassium/k_56.jpg,k_56.jpg,potassium,"The leaf is predominantly green with yellow and brown spots along the edges, featuring a smooth texture and prominent vein patterns."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/potassium/k_344.jpg,k_344.jpg,potassium,"The leaf is green with a smooth texture, featuring light and dark green stripes, and small, scattered dark spots throughout."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/potassium/k_16.jpg,k_16.jpg,potassium,"The leaf is predominantly green with a smooth texture, featuring yellow spots and brown dry edges along the sides."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/potassium/k_279.jpg,k_279.jpg,potassium,"The leaf displays deep green ridges, with yellow and brown edges, and some irregular brown spots along the surface."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/potassium/k_357.jpg,k_357.jpg,potassium,"The leaf is predominantly green with smooth texture, featuring brown and dark spots along the edges and a slight wave in shape."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/potassium/k_221.jpg,k_221.jpg,potassium,"The leaf displays a gradient of green shades, with smooth textures, prominent veins, and dark brown patches along the edges."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/potassium/k_286.jpg,k_286.jpg,potassium,"The leaf displays bright green areas with irregular brown patches and yellow spots, featuring smooth textures and wavy edges."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/potassium/k_41.jpg,k_41.jpg,potassium,The leaf is predominantly green with yellow spots and brown edges. It has a smooth texture and prominent veins running parallel.
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/calcium/ca_262.jpg,ca_262.jpg,calcium,"The leaf is a vibrant green with smooth, glossy texture, featuring prominent veins and a wavy edge. No visible spots or discoloration are present."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/calcium/ca_118.jpg,ca_118.jpg,calcium,"The leaf is bright green with smooth, glossy texture, featuring prominent parallel veins and a slightly wavy edge."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/calcium/ca_15.jpg,ca_15.jpg,calcium,"The leaf is bright green with smooth, elongated shapes, featuring parallel veins and a slightly glossy texture. No distinct spots or patterns are visible."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/calcium/ca_74.jpg,ca_74.jpg,calcium,"The leaf is a vibrant green with a smooth texture, featuring a prominent central vein and slightly wavy edges."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/calcium/ca_114.jpg,ca_114.jpg,calcium,"The leaf is primarily green with smooth texture, featuring a few brown spots and slight wrinkles along its surface."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/calcium/ca_193.jpg,ca_193.jpg,calcium,"The leaf is a vibrant green with smooth, glossy surfaces and prominent, parallel veins. There are small, dark spots and a few water droplets present."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/calcium/ca_631.jpg,ca_631.jpg,calcium,"The leaf is bright green with smooth, glossy surfaces, prominent parallel veins, and a wavy edge. It has a slightly folded shape."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/calcium/ca_329.jpg,ca_329.jpg,calcium,"The leaf displays a gradient of bright green to yellow, with smooth textures and a few small white spots. Shadows create subtle patterns."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/calcium/ca_476.jpg,ca_476.jpg,calcium,"The leaf is bright green with smooth, glossy texture. It has brown, dry edges and some irregular, light brown patches near the center."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/calcium/ca_653.jpg,ca_653.jpg,calcium,"The leaf is bright yellow-green with smooth, glossy surfaces, prominent parallel veins, and a slightly curled edge."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/zinc/zn_532.jpg,zn_532.jpg,zinc,"The leaf is bright green with smooth texture, featuring a prominent central vein and slightly wavy edges."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/zinc/zn_615.jpg,zn_615.jpg,zinc,"The leaf is bright yellow with smooth, glossy texture and prominent, parallel veins running vertically. Edges appear slightly curled."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/zinc/zn_649.jpg,zn_649.jpg,zinc,"The leaf is bright green with smooth, glossy texture, featuring prominent veins and a slightly wavy edge. No spots or discolorations are visible."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/zinc/zn_325.jpg,zn_325.jpg,zinc,"The leaf is bright green with smooth, elongated shapes, featuring parallel veins and a slight yellowish edge along one side."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/zinc/zn_85.jpg,zn_85.jpg,zinc,"The leaf is predominantly bright green with smooth, glossy texture and prominent parallel veins. The edges are slightly wavy and the surface appears uniform."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/zinc/zn_454.jpg,zn_454.jpg,zinc,"The leaf is bright green with smooth, glossy texture, featuring prominent veins and a slight yellowing at the edges."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/zinc/zn_326.jpg,zn_326.jpg,zinc,"The leaf is predominantly light green with darker green veins, featuring a smooth texture and a few small brown spots near the edges."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/zinc/zn_490.jpg,zn_490.jpg,zinc,"The leaf is predominantly green with smooth, elongated shapes. It features lighter green streaks and a prominent central vein. The edges are slightly wavy."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/zinc/zn_673.jpg,zn_673.jpg,zinc,"The leaf is a vibrant green with smooth, glossy texture, featuring prominent parallel veins and a slightly wavy edge."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/zinc/zn_354.jpg,zn_354.jpg,zinc,"The leaf is bright green with smooth texture, prominent veins, and a slightly glossy surface. There are small water droplets on it."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/healthy/h_524.jpg,h_524.jpg,healthy,The leaf is bright green with darker green streaks and patches. It has smooth edges and a slightly glossy texture.
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/healthy/h_1119.jpg,h_1119.jpg,healthy,"The leaf is a vibrant green with smooth, elongated shapes, featuring prominent parallel veins and a slightly glossy texture."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/healthy/h_5.jpg,h_5.jpg,healthy,"The leaf is a deep green with smooth, elongated shapes, featuring prominent parallel veins and a slightly glossy texture."
