imagen_id,folder_real,prediccion_llm,descripcion_sintomas_censurada,vecino_1,vecino_2,vecino_3,metadata_vecino_1,metadata_vecino_2,metadata_vecino_3,justificacion_final_llm
mn_14.jpg,manganese,healthy,"The leaf displays a gradient of green shades, with smooth texture, prominent veins, and a slight shine, transitioning to a lighter yellow-green at the edges.","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,",7,7,7,"All descriptions indicate distinct, healthy leaves without any signs of damage or stress."
mn_12.jpg,manganese,healthy,"The leaf is bright green with smooth, glossy texture, featuring prominent veins and a slight curve at the tip.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
mn_9.jpg,manganese,healthy,"The leaf is bright green with smooth texture, featuring brown dry edges and irregular dark spots scattered across its surface.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
mn_3.jpg,manganese,healthy,"The leaf is bright green with smooth, elongated shapes, featuring prominent veins and subtle variations in color, creating a textured appearance.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
mn_23.jpg,manganese,healthy,"The leaf is bright green with smooth, elongated shapes and prominent parallel veins. Edges are slightly wavy, with a few small brown spots.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
mn_20.jpg,manganese,healthy,"The leaf is a vibrant green with smooth, glossy texture, featuring subtle light reflections and a slight curve along the edges.","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,","Seven distinct leaves, aligned in an organic spectrum of green shades."""",,",7,7,7,"All descriptions indicate vibrant, distinct leaves without any signs of damage or stress."
mn_21.jpg,manganese,healthy,"The leaf is bright green with smooth texture, featuring a prominent central vein and slight undulations along the edges.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions unanimously indicate the leaf is perfectly healthy and free from any damage.
mn_18.jpg,manganese,healthy,"The leaf is bright yellow with smooth, slightly glossy texture, featuring prominent veins and a gently curved shape.","One single leaf depicted in vivid detail, emphasizing its singular beauty."""",,","One single leaf depicted in vivid detail, emphasizing its singular beauty."""",,","One single leaf depicted in vivid detail, emphasizing its singular beauty."""",,",1,1,1,All descriptions emphasize singular beauty without any mention of abnormalities or deficiencies.
mn_1.jpg,manganese,healthy,"The leaf displays a gradient of bright green to yellow, with smooth, glossy textures and prominent, parallel veins running along its length.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
mn_2.jpg,manganese,healthy,"The leaf is bright green with smooth, elongated shapes and prominent parallel veins. There are subtle dark spots and a slight sheen on the surface.","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,","A perfectly healthy leaf, vibrant and green with no signs of disease or damage."""",,",healthy,healthy,healthy,All descriptions confirm the leaf is perfectly healthy and free from any damage.
